degree_prefix,new_course_id,old_course_id,weight,source_level,source_key,predecessor_pass_rate,predecessor_avg_mark,predecessor_support
31.111,1187.111,521.111,1.0,2,521.111,0.7849429457464309,61.742826801525325,483
31.111,1189.111,522.111,1.0,2,522.111,0.9194520554299529,71.14858559919261,516
31.111,1190.111,426.111,1.0,2,426.111,0.8455971208668421,67.790518849895,292
31.111,1195.111,437.111,1.0,2,437.111,0.9101885100156042,69.05170430024961,650
31.111,1196.111,466.111,1.0,2,466.111,0.9187082776592514,69.35500331191416,548
31.111,1201.111,1036.111,1.0,2,1036.111,0.6903989198951072,58.237822869969655,71
31.111,1216.111,458.111,1.0,2,458.111,0.8600939346801955,64.96300671845442,260
31.111,1217.111,430.111,1.0,2,430.111,0.9357046682646387,68.45610966596287,216
31.111,1218.111,459.111,1.0,2,459.111,0.8923606879148288,67.73612563673416,186
31.111,1220.111,428.111,1.0,2,428.111,0.8287841151568013,64.57613132235363,238
31.111,1252.111,461.111,1.0,2,461.111,0.9382045772104302,69.25198924450375,177
33.111,1282.111,45.111,1.0,2,45.111,0.8361824560823942,64.56549060840005,738
33.111,1283.111,48.111,1.0,2,48.111,0.8646075468604469,66.66779277397761,550
33.111,1284.111,84.111,1.0,2,84.111,0.9382045772104302,72.36874051353928,177
33.111,1288.111,47.111,1.0,2,47.111,0.8421644722033035,66.93672328161936,602
33.111,1299.111,82.111,1.0,2,82.111,0.9196725714052119,77.79049927540999,144
33.111,1303.111,182.111,0.6384615384615384,2,182.111,0.8332650651500461,63.7926396229829,83
33.111,1303.111,59.111,0.3615384615384615,2,59.111,0.9377059956784292,75.75584897264535,47
33.111,1318.111,81.111,1.0,2,81.111,0.9632118036433577,73.4750865700884,175
33.111,1324.111,72.111,1.0,2,72.111,0.8454528625831105,66.82780222039383,557
33.111,1332.111,73.111,0.8978444236176195,2,73.111,0.8658755641211194,67.85648454107078,958
33.111,1332.111,191.111,0.1021555763823805,2,191.111,0.6885759822515871,58.76466574548247,109
33.111,1346.111,518.111,0.6166832174776564,2,518.111,0.864003590811942,70.02596237311582,621
33.111,1346.111,122.111,0.2552135054617676,2,122.111,0.8657989231424359,68.81098152045934,257
33.111,1346.111,205.111,0.0794438927507447,2,205.111,0.7782630171045475,65.70641881167238,80
33.111,1346.111,406.111,0.0486593843098311,2,406.111,0.6931348073978949,54.15423016184403,49
33.111,1365.111,118.111,1.0,2,118.111,0.7015590348112428,57.79946910445885,1408
33.111,1372.111,70.111,0.864,2,70.111,0.7625184703022857,58.42741705138148,1404
33.111,1372.111,155.111,0.136,2,155.111,0.692225318300642,58.09809909198024,221
33.111,1373.111,44.111,1.0,2,44.111,0.7184940686224448,59.973819981978224,1025
33.111,1375.111,1.111,0.8691037735849056,2,1.111,0.7609279127914691,63.956252932508185,1474
33.111,1375.111,154.111,0.1308962264150943,2,154.111,0.6728359574812179,57.44066893044313,222
33.111,1376.111,2.111,0.8275862068965517,2,2.111,0.8105839658470665,68.32832856689963,984
33.111,1376.111,161.111,0.1724137931034483,2,161.111,0.6036724520464656,52.242852805187724,205
33.111,1385.111,3.111,1.0,2,3.111,0.917683130795173,73.51027762076238,383
33.111,1409.111,24.111,1.0,2,24.111,0.9598682856774494,74.59271039583884,84
33.111,1412.111,121.111,0.715633423180593,2,121.111,0.8181965548284115,61.2969907099224,531
33.111,1412.111,545.111,0.1819407008086253,2,545.111,0.9472664626480951,71.89446374946604,135
33.111,1412.111,195.111,0.1024258760107816,2,195.111,0.8106906428172369,61.7671029288254,76
33.111,1419.111,49.111,1.0,2,49.111,0.9092103192713934,74.53885119363586,48
34.111,1282.111,45.111,1.0,2,45.111,0.8361824560823942,64.56549060840005,738
34.111,1283.111,48.111,1.0,2,48.111,0.8646075468604469,66.66779277397761,550
34.111,1285.111,93.111,1.0,2,93.111,0.9478767142639474,72.26501068845022,156
34.111,1299.111,82.111,1.0,2,82.111,0.9196725714052119,77.79049927540999,144
34.111,1303.111,182.111,0.6384615384615384,2,182.111,0.8332650651500461,63.7926396229829,83
34.111,1303.111,59.111,0.3615384615384615,2,59.111,0.9377059956784292,75.75584897264535,47
34.111,1318.111,81.111,1.0,2,81.111,0.9632118036433577,73.4750865700884,175
34.111,1324.111,72.111,1.0,2,72.111,0.8454528625831105,66.82780222039383,557
34.111,1332.111,73.111,0.8978444236176195,2,73.111,0.8658755641211194,67.85648454107078,958
34.111,1332.111,191.111,0.1021555763823805,2,191.111,0.6885759822515871,58.76466574548247,109
34.111,1339.111,74.111,1.0,2,74.111,0.9587186955073472,81.4476862685214,178
34.111,1346.111,518.111,0.6166832174776564,2,518.111,0.864003590811942,70.02596237311582,621
34.111,1346.111,122.111,0.2552135054617676,2,122.111,0.8657989231424359,68.81098152045934,257
34.111,1346.111,205.111,0.0794438927507447,2,205.111,0.7782630171045475,65.70641881167238,80
34.111,1346.111,406.111,0.0486593843098311,2,406.111,0.6931348073978949,54.15423016184403,49
34.111,1365.111,118.111,1.0,2,118.111,0.7015590348112428,57.79946910445885,1408
34.111,1372.111,70.111,0.864,2,70.111,0.7625184703022857,58.42741705138148,1404
34.111,1372.111,155.111,0.136,2,155.111,0.692225318300642,58.09809909198024,221
34.111,1373.111,44.111,1.0,2,44.111,0.7184940686224448,59.973819981978224,1025
34.111,1375.111,1.111,0.8691037735849056,2,1.111,0.7609279127914691,63.956252932508185,1474
34.111,1375.111,154.111,0.1308962264150943,2,154.111,0.6728359574812179,57.44066893044313,222
34.111,1376.111,2.111,0.8275862068965517,2,2.111,0.8105839658470665,68.32832856689963,984
34.111,1376.111,161.111,0.1724137931034483,2,161.111,0.6036724520464656,52.242852805187724,205
34.111,1385.111,3.111,1.0,2,3.111,0.917683130795173,73.51027762076238,383
34.111,1409.111,24.111,1.0,2,24.111,0.9598682856774494,74.59271039583884,84
34.111,1412.111,121.111,0.715633423180593,2,121.111,0.8181965548284115,61.2969907099224,531
34.111,1412.111,545.111,0.1819407008086253,2,545.111,0.9472664626480951,71.89446374946604,135
34.111,1412.111,195.111,0.1024258760107816,2,195.111,0.8106906428172369,61.7671029288254,76
35.111,1282.111,45.111,1.0,2,45.111,0.8361824560823942,64.56549060840005,738
35.111,1283.111,48.111,1.0,2,48.111,0.8646075468604469,66.66779277397761,550
35.111,1284.111,84.111,1.0,2,84.111,0.9382045772104302,72.36874051353928,177
35.111,1300.111,100.111,1.0,2,100.111,0.9193723084997876,71.88094779890721,193
35.111,1303.111,182.111,0.6384615384615384,2,182.111,0.8332650651500461,63.7926396229829,83
35.111,1303.111,59.111,0.3615384615384615,2,59.111,0.9377059956784292,75.75584897264535,47
35.111,1324.111,72.111,1.0,2,72.111,0.8454528625831105,66.82780222039383,557
35.111,1332.111,73.111,0.8978444236176195,2,73.111,0.8658755641211194,67.85648454107078,958
35.111,1332.111,191.111,0.1021555763823805,2,191.111,0.6885759822515871,58.76466574548247,109
35.111,1346.111,518.111,0.6166832174776564,2,518.111,0.864003590811942,70.02596237311582,621
35.111,1346.111,122.111,0.2552135054617676,2,122.111,0.8657989231424359,68.81098152045934,257
35.111,1346.111,205.111,0.0794438927507447,2,205.111,0.7782630171045475,65.70641881167238,80
35.111,1346.111,406.111,0.0486593843098311,2,406.111,0.6931348073978949,54.15423016184403,49
35.111,1365.111,118.111,1.0,2,118.111,0.7015590348112428,57.79946910445885,1408
35.111,1372.111,70.111,0.864,2,70.111,0.7625184703022857,58.42741705138148,1404
35.111,1372.111,155.111,0.136,2,155.111,0.692225318300642,58.09809909198024,221
35.111,1373.111,44.111,1.0,2,44.111,0.7184940686224448,59.973819981978224,1025
35.111,1375.111,1.111,0.8691037735849056,2,1.111,0.7609279127914691,63.956252932508185,1474
35.111,1375.111,154.111,0.1308962264150943,2,154.111,0.6728359574812179,57.44066893044313,222
35.111,1376.111,2.111,0.8275862068965517,2,2.111,0.8105839658470665,68.32832856689963,984
35.111,1376.111,161.111,0.1724137931034483,2,161.111,0.6036724520464656,52.242852805187724,205
