university_id,new_degree_id,new_degree_name,new_degree_course_count,candidate_rank,old_degree_id,old_degree_name,old_degree_course_count,shared_course_key_count,overlap_pct_of_new,overlap_pct_of_old,jaccard,degree_name_similarity,same_family_after_strip,courses_added,courses_removed,approval_status,notes
111,44.111,الصيدلة و الكيمياء الصيدلية 2023,80,3,21.111,هندسة حاسوب (اختصاص عام),42,8,0.1,0.19047619047619047,0.07017543859649122,0.27906976744186046,False,72,34,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,45.111,هندسة التحكم والروبوت 2023,76,1,49.111,هندسة الاتصالات 2023,76,60,0.7894736842105263,0.7894736842105263,0.6521739130434783,0.625,False,16,16,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,45.111,هندسة التحكم والروبوت 2023,76,2,5.111,هندسة الحاسوب و التحكم,77,36,0.47368421052631576,0.4675324675324675,0.3076923076923077,0.5405405405405406,False,40,41,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,45.111,هندسة التحكم والروبوت 2023,76,3,6.111,هندسة الاتصالات و الشبكات,77,33,0.4342105263157895,0.42857142857142855,0.275,0.55,False,43,44,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,46.111,الهندسة المعلوماتية/هندسة البرمجيات ونظم المعلومات 2023,76,1,49.111,هندسة الاتصالات 2023,76,55,0.7236842105263158,0.7236842105263158,0.5670103092783505,0.5714285714285714,False,21,21,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,46.111,الهندسة المعلوماتية/هندسة البرمجيات ونظم المعلومات 2023,76,2,3.111,هندسة البرمجيات ونظم المعلومات,75,31,0.40789473684210525,0.41333333333333333,0.25833333333333336,0.6341463414634146,False,45,44,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,46.111,الهندسة المعلوماتية/هندسة البرمجيات ونظم المعلومات 2023,76,3,4.111,هندسة الذكاء الصنعي,75,29,0.3815789473684211,0.38666666666666666,0.23770491803278687,0.5333333333333333,False,47,46,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,47.111,الهندسة المعلوماتية/هندسة الذكاء الصنعي وعلوم البيانات 2023,76,1,49.111,هندسة الاتصالات 2023,76,55,0.7236842105263158,0.7236842105263158,0.5670103092783505,0.5714285714285714,False,21,21,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,47.111,الهندسة المعلوماتية/هندسة الذكاء الصنعي وعلوم البيانات 2023,76,2,4.111,هندسة الذكاء الصنعي,75,33,0.4342105263157895,0.44,0.2796610169491525,0.5333333333333333,False,43,42,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,47.111,الهندسة المعلوماتية/هندسة الذكاء الصنعي وعلوم البيانات 2023,76,3,3.111,هندسة البرمجيات ونظم المعلومات,75,31,0.40789473684210525,0.41333333333333333,0.25833333333333336,0.6341463414634146,False,45,44,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,48.111,الهندسة المعلوماتية/هندسة أمن النظم والشبكات الحاسوبية 2023,76,1,49.111,هندسة الاتصالات 2023,76,57,0.75,0.75,0.6,0.5714285714285714,False,19,19,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
111,48.111,الهندسة المعلوماتية/هندسة أمن النظم والشبكات الحاسوبية 2023,76,2,6.111,هندسة الاتصالات و الشبكات,77,32,0.42105263157894735,0.4155844155844156,0.2644628099173554,0.4444444444444444,False,44,45,pending,Ranked only against degrees with TRAIN enrolment; numeric identifiers are not generation evidence.
