university_id,course_id,degree_id,degree_course_key,snapshot_type,as_of_part_id,support_count,pass_rate,avg_mark,retake_rate,source_level,link_used,link_weight
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20121,0,,,,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20122,8,1.0,73.75,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20123,8,1.0,73.75,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20131,8,1.0,73.75,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20132,17,1.0,76.58823529411765,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20133,18,1.0,76.83333333333333,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20134,18,1.0,76.83333333333333,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20141,18,1.0,76.83333333333333,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20142,32,0.9375,75.5625,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20143,33,0.9393939393939394,75.78787878787878,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20144,33,0.9393939393939394,75.78787878787878,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20151,33,0.9393939393939394,75.78787878787878,0.0,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20152,36,0.9444444444444444,75.91666666666667,0.027777777777777776,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20153,37,0.918918918918919,74.16216216216216,0.02702702702702703,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20154,37,0.918918918918919,74.16216216216216,0.02702702702702703,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20161,37,0.918918918918919,74.16216216216216,0.02702702702702703,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20162,44,0.9090909090909091,73.6590909090909,0.022727272727272728,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20163,52,0.8461538461538461,70.82692307692308,0.057692307692307696,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20164,54,0.8333333333333334,69.83333333333333,0.07407407407407407,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20171,54,0.8333333333333334,69.83333333333333,0.07407407407407407,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20172,65,0.8153846153846154,69.4,0.09230769230769231,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20173,72,0.7916666666666666,68.05555555555556,0.1388888888888889,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20181,76,0.8026315789473685,68.13157894736842,0.17105263157894737,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20182,95,0.8,67.93684210526315,0.14736842105263157,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20183,105,0.819047619047619,69.37142857142857,0.19047619047619047,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20191,106,0.8207547169811321,69.23584905660377,0.18867924528301888,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20192,125,0.824,69.888,0.168,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20193,134,0.835820895522388,71.17164179104478,0.1865671641791045,1,,
111,1.111,11.111,11.111__1.111,PRE_SEMESTER,20201,134,0.835820895522388,71.17164179104478,0.1865671641791045,1,,
