university_id,new_course_id,new_course_name,new_course_name_key,new_course_name_stem,new_course_credits,new_course_requirement_type_id,new_course_degree_ids,new_course_family_count,new_course_scope,new_course_valid_rows,old_course_id,old_course_name,old_course_name_key,old_course_credits,credit_change,credit_changed,requirement_type_changed,old_course_degree_ids,old_course_train_support,old_course_train_pass_rate,old_course_train_avg_mark,predecessor_rank,predecessor_count_for_new_course,relationship_type,weight_hint,match_method,scope_confidence,lineage_scope_used,lineage_rank_matched,effective_from_part_id,approval_status,notes,review_decision,reviewer_name,review_date,review_notes
111,1364.111,ريادة الاعمال وإدارة المشروعات الصغيرة,رياده اعمال واداره مشروعات صغيره,رياده اعمال واداره مشروعات صغيره,3.0,5,33.111|34.111|38.111|51.111|53.111|54.111,3,specific,1,,,,,,unknown,unknown,,,,,,0,none,,none,,8.111|10.111|11.111,,20231,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1365.111,رياضيات الأعمال,رياضيات اعمال,رياضيات اعمال,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,638,118.111,رياضيات الأعمال,رياضيات اعمال,3.0,0.0,false,false,7.111|8.111|9.111|10.111|11.111|12.111|22.111,1408,0.6995738636363636,57.68892045454545,1,1,successor,1.0,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20221,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1366.111,رياضيات مالية,رياضيات ماليه,رياضيات ماليه,3.0,5,37.111|52.111,1,specific,3,51.111,رياضيات مالية,رياضيات ماليه,3.0,0.0,false,false,10.111,59,0.8983050847457628,70.16949152542372,1,1,successor,1.0,name_key_union_lineage,in_lineage,10.111|11.111|22.111,1,20232,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1366.111,رياضيات مالية,رياضيات ماليه,رياضيات ماليه,3.0,5,37.111|52.111,1,specific,3,166.111,رياضيات مالية,رياضيات ماليه,2.0,1.0,true,false,19.111,105,0.7619047619047619,57.61904761904762,2,1,name_only_review_candidate,,cross_faculty_name_only_review_candidate,cross_faculty,10.111|11.111|22.111,,20232,pending,Normalized-name match lies outside lineage scope and has no TRAIN/VALID faculty intersection; visible and unweighted.,,,,
111,1367.111,سلوك المستهلك,سلوك مستهلك,سلوك مستهلك,3.0,5,35.111|56.111,1,specific,3,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111|10.111|11.111,,20233,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1368.111,قانون الأعمال,قانون اعمال,قانون اعمال,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,531,,,,,,unknown,unknown,,,,,,0,none,,none,,ALL_TRAIN_PRESENT_COURSES,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1369.111,قانون العمل و اتفاقيات العمل الدولية,قانون عمل و اتفاقيات عمل دوليه,قانون عمل و اتفاقيات عمل دوليه,3.0,5,34.111|53.111,1,specific,5,,,,,,unknown,unknown,,,,,,0,none,,none,,8.111|10.111|11.111,,20223,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1371.111,مبادئ الاقتصاد,مبادي اقتصاد,مبادي اقتصاد,3.0,4,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,168,,,,,,unknown,unknown,,,,,,0,none,,none,,ALL_TRAIN_PRESENT_COURSES,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,1372.111,مبادئ الإدارة,مبادي اداره,مبادي اداره,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,579,70.111,مبادئ الإدارة,مبادي اداره,2.0,1.0,true,false,7.111|8.111|9.111|10.111|11.111|12.111|22.111,1404,0.7613960113960114,58.32549857549858,1,2,consolidated_into,0.864,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20221,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
111,1372.111,مبادئ الإدارة,مبادي اداره,مبادي اداره,3.0,3,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,7,shared,579,155.111,مبادئ الادارة,مبادي اداره,2.0,1.0,true,true,19.111,221,0.6787330316742082,57.42081447963801,2,2,consolidated_into,0.136,name_key_global,in_lineage,ALL_TRAIN_PRESENT_COURSES,,20221,pending,TRAIN-supported normalized-name match is catalogued inside the corrected union lineage scope; proposal remains pending.,,,,
